模块	子模块	功能	备注
商品管理	信息管理	商品信息	例如：商品信息的增加等
		商品编辑	例如：批量编辑、所能编辑的字段等
		淘宝店铺商品同步	将淘宝店铺中的商品信息同步更新到系统中    
		商品信息对应	标明是系统自动比对，还是导出Excel表格后人工比对
		商品的批量导入与导出	
	发布管理	商品发布/上下架	例如：单个发布、批量发布等
库存管理	分仓管理	分仓设定	例如：指定仓、母子仓等
		订单分仓处理	
	库存分配管理	库存分配设定	例如：多仓库存共享、各自独立、部分独立等
		库存分配处理	按库存分配设定的模型，计算某商品的可售库存
	订单处理	订单商品的库存处理	指订单商品的库存占用与释放
	库存同步	库存同步处理	例如：系统中库存自动更新、同步更新淘宝店铺、手动更新等
	预警库存管理	预警库存设定	
		库存预警处理	达到预警库存后采取的处理方式
订单管理	订单获取	订单获取	例如：实时获取淘宝店铺中的订单以及订单状态等
	订单智能审核	促销处理	
		客户留言处理	例如：客户留言不为空时转入人工处理等
		联系信息处理	例如：判断地址或联系方式信息是否合法等
		标记预售订单	例如：标记预售订单，等待库存满足等
	订单人工审核	查看订单信息	
		修改地址或联系方式	
		指定快递公司	
		订单中商品的增删改	
		手工绑定赠品	
		发票信息录入	
		取消订单	
		工单生成	指的是针对订单所出现的问题产生工单，相关人员可根据工单处理问题
		补发单生成	指的是对订单的补发操作，二次发货
	缺货订单处理	查询缺货订单	
		生成采购计划	
		批量导出	
发货管理	发货处理	打单功能	指的是能打印哪些表单
		打单时机选择	例如：发货单和快递单同时打印、先打发货单等
		拣货管理	例如：支持二次拣货等
